"July 23, 2020,30,""All ok, no better, no worse"",Was really looking forward to this place and food was fine but expensive for wha it was. OK but that's it really.";
;
July 18, 2020,50,I like it so much 😍,I like it so much 😍 Very tasty and light you can’t get enough eating. I order it to go but I enjoy it on the beach.;
;
July 17, 2020,50,What a pizza!!!,I am not a pizza lover but I must admit from all the pizzas I had had in my life Tony’s napolitana pizza is THE freacking BEST!;
;
July 5, 2020,50,Excellent Pizza & Cannoli,Excellent pizza but leave room for the cannoli. They offer outdoor seating which is fine. The service is sharp and quick.;
;
March 10, 2020,50,Authentic Italian,We were staying in SF and couldn’t resist trying a pizza or two. Delicious and reasonably priced. Lots of locals so knew it would be good. Great staff too;
;
"March 5, 2020,50,The best,""Excellent food, simply the best pizzas, staff very friendly and efficient, it does get really busy, and you do have to wait, but it is so worth it.""";
;
"February 24, 2020,50,Pizza to go-go,""Great pizza, designed to take-away in the heart of little Italy, freshly prepared, quick and at a decent price. First class.""";
;
"February 11, 2020,40,Great pizza but not any better than some other spots without the long wait.,""Loved the pizza! But was it worth a 40 minute wait? Other places are just as good and dot have the wait, so I’d have to say “no”. But we had a great time and loved our pizzas.""";
;
"January 31, 2020,50,Gluten free pizza!,""Really good gluten free pizza - they can either make a gluten free version of most of the pizzas on the menu (for additional $6) or you can create your own from $18. Really tasty, highly recommend! Good selection of beers too.""";
;
"January 20, 2020,40,""Great pizza, but cold and late via uber."",""Title says it all really. Ordered via Uber eats... pizza and salad arrived after a fair delay and the pizza was luke warm. Despite that, it was a great pizza.""";
;
December 24, 2019,40,Done the Slice 😋,Good value pizza generous servings great taste good atmosphere worth the visit. My friends got some ice cream wish they Gelato dark choc . But the pizza was A ok 😁;
;
November 24, 2019,50,Delicious pizza!!,This place has some of the best pizza I've ever had in the traditional Neapolitan style. Would highly recommend some of the more 'basic' options like a Margherita to really taste the quality of that pizza base. Absolutely delicious!;
;
November 23, 2019,50,Wow this place is awesome !,New yorker seem to be the one but others are damn good too. Three semi large pizzas were good for a group of six heavy eaters. Remember to book a table beforehand.;
;
"November 15, 2019,50,Yes! Italian and more,""Several types of delicious pizza and more for every taste. Large plates for groups, satisfying for both your stomach and your eyes.""";
;
"November 9, 2019,50,Yes! A thousand times yes,""Came neon a recommendation. The salad, the meatball (to die for, the marinara sauce was the best I’ve ever tasted), and the pizza (NY style) was perfect. It was a great lunch. Plus good weather and we sat outside. I would recommend this to everyone.""";
;
October 26, 2019,50,Biggest meatball ever!!!,Really great food. The meatball was to DIE for. Highly recommend the cooked dough and burrata. The pizza was simply delicious. Overall a great restraunt and very family friendly.;
;
October 23, 2019,40,Really great traditional pizza,We had an amazing time. Exceptional service. Our pizza was wood fired and very tasty. Great beer list as well. The only thing that we thought was strange is my wife’s wine was served in a rocks glass.;
;
October 23, 2019,50,Recommended by local guy!,Recommended by a guy down the street... said best pizza in town! Grabbed a slice and ate outside.... wonderful! Then had tiramisu !forfor Then;
;
"October 19, 2019,40,Great pizza but...,""Overall I really enjoyed my visit! Pizzas, as expected, were great. Lost 1 star as I feel the prices are slightly inflated and our service was poor. Both probably a consequence of the restaurants popularity""";
;
October 11, 2019,50,The Best,The place was busy but they took care of everyone. My family and I came across this packed out restaurant on fist night in San Francisco and it didn't disappoint. Great service and even better food!;
;
October 2, 2019,50,Best pizza I’ve ever had,We went to Tony’s after we where recommend it. We both love pizzas and get them when where home. But the only problem I’ve got with Tony’s pizza is that we can’t take his pizza shop home with us.;
;
"September 27, 2019,40,""Good pizza, nice people."",""Great selection of all different types of pizza. Not sure it matched up to the hype, but had a great time.""";
;
September 20, 2019,30,Long wait but decent pizza,I waited over an hour and half for an ok pizza. Super packed over priced pizza place. Meatballs and salad were quite tasty. Waiter was very nice.;
;
"September 6, 2019,50,""Great pizza, great lunch"",""We visited for a late lunch. Very short wait for table. Great garlic bread (whole roasted cloves), delicious pizza and enormous chicken caesar salad. Really excellent.""";
;
"September 4, 2019,50,Great Pizza,""We had a Pizza Regina. It was huuuuge and extremely delicious. It’s based on Foccacia. Staff was very friendly. We can highly recommend it! Great Pizza, Great Place!""";
;
September 2, 2019,50,My Favorite Pizza Place,The pizza here is awesome!!!! Not an exaggeration. Order the burratina. Tip: Use the Yelp waitlist. If you have a large party (larger than is allowed on the app) just let them know in the comments and they will try to accommodate. Enjoy the pizza!;
;
August 19, 2019,50,Great place to recharge,Stopped off to recharge our batteries whilst sightseeing in San Fran. Pizzas were some of the best and one slice was more than enough to keep us going until lunchtime.;
;
August 15, 2019,50,Gluten free wow!,Visiting SF and the guys from Vantigo SF recommended Tonys. It did not disappoint. We went for the coal fired newyorker and gf with mushrooms and sausage and wow! Best gf pizza ever and been told the newyorker was fab too!;
;
"August 5, 2019,40,Huge slice,""We stopped and had pizza because the line up of people told us there must be something good inside. The slices are huge, it's the type of pizza that you fold in half to eat. It's a bit greasy but very tasty!""";
;
August 5, 2019,50,Great Pizza,Had to wait 90 minutes for a table at 7pm but well worth the wait. The portions are HUGE. Food is delicious. Only fault was the would not do a Carbonara without cream !!!;
;
"July 24, 2019,50,""Have time, you can sit. Don’t, you can get a slice.from"",""Friends from the neighborhood took us here, but it was packed. Instead of walking away, we went to the slice house next door and still enjoyed this wonderful pizza. Lots of places to sit and sounds like this restaurant is always crowded. Make a reservation.""";
;
"July 23, 2019,30,""Good pizza, incredible long cue"",""1 hour to wait to be seated, and this is standard at this pizzeria. Very good pizza quality. They claim that is the best in SF, for me a little to oily...""";
;
