"August 4, 2020",50,Woooow!!!!,"Delicious pizza and fantastic ice cream! Great atmosphere with Italian music. Excellent service...Nicola is the number 1! See you soon, guys!!!"
"July 31, 2020",50,I LOVE THIS PIZZA!,"I am addicted to pizza, but I love the authentic Italian one. I chose the vegan pizza which was simply and tasty. I like the atmosphere and the background music. Thank you Nicola! I'll be back for sure!"
"March 15, 2020",50,Can’t go wrong with any of the dishes!,"Fabulous service and the food was phenomenal. The ravioli was one of the best I have ever had and the Lasagna noodle with prosciutto, cheese and mushrooms was a favorite. It is worth the awards it has won."
"March 11, 2020",50,Homely Pizza with wine,"Oven fresh well made pizzas with choice of wine, large pie, good for crowds. Great selection and ingredients. Great Pizza. I think they may have pasta too."
"January 18, 2020",50,Spectacular pizza!,"Our family has become snobby when it comes to pizza. Chain stores don’t cut it. THIS pizza wins an award! We all loved it. The sauce and toppings were fresh, and the crust was perfect. Spectacular!"
"January 16, 2020",50,Simple Italian cozy warm restaurant.,"Simple Italian cozy warm restaurant. Not too crowded, quiet. Food was delicious on a cold night, it was just what we wanted."
"January 8, 2020",30,The service wasn’t the best,The service wasn’t the best and our utensils and cups were already dirty before we even sat down. Disappointed.
"January 5, 2020",50,Amazing pizza,"Italian food? The best, I really like them, and I keep trying out new restaurants.The pizza was one of my favorites, I ate spenotosand bruschetta, it was absolutely authentic.I love this place and you have to try it!"
"December 29, 2019",50,Excellent Pizza,Restaurant with excellent value for their delicious pizzas. Authentic Italian atmosphere and efficient staff. Would highly recommend to anybody searching for good Italian pizza in New York City
"December 27, 2019",50,Perfect! The pizza was absolutely,"Perfect! The pizza was absolutely perfect! The ingredients were fresh and delicious. We ordered a Rustica pizza and a Margarita pizza. Well done!! This is a cash only restaurant. Also, it is super tight seating."
"December 23, 2019",50,"Excellent pizza and service,","Excellent pizza and service, the environment is cozy and the wine list is really good. Highly recommended"
"November 29, 2019",50,Wow! Amazing Italian and Pizza!,Probably the best pizza I’ve ever had in my life! My wife loved her pasta and salad also. And the dessert was legit too! Server was sweet and attentive. Just a great West Village experience!
"November 19, 2019",50,Delicious,It was my friend's Birthday and we had dinner at Numero 28 Pizzeria before seeing a show. The pizza (Kale & Sausage) was delicious!!! The restaurant makes use of their limited space too. Highly recommend this restaurant if you are in the area.
"November 15, 2019",50,meraviglioso,"A very good restaurant which led us to Italia even 5000 miles away. We were served by Gemma. Very careful to our needs, they adapt to us by taking time to explain how are made pizzas or pasta. I strongly recommend this place !"
"November 4, 2019",50,Great place and the best pizza (bellissimo posto e pizza buonissima!),We ate a big pizza divided in different tastes. Everything was excellent! Thanks to Gemma and all very kind!!! Muchas gracias! Grazie mille
"November 3, 2019",50,Awesome Food and Amazing Service,"I love going to Pizza N28 for the the best food and the vibe of the people there. Gemma who served me is always nice and make me feel at home, which is one of the main reason why I got there."
"October 31, 2019",50,Super Halloween @28,We ate a wonderful pizza the Italian way ! the waitress Gemma was friendly and welcoming!! Great service !
"October 29, 2019",40,Pizzas are good!,Good pizzas available and the small ones are huge! Service was good but a bit distant. Only reason for the 4 vs 5 stars is the service and the bruschetta... do not order. It wasn’t good
