2 de octubre de 2020,50,Pizza casera deliciosa. La típica y famosa pizza de Chicago.,Pizza casera deliciosa. Ingredientes frescos. Ambiente sencillo pero agradable. Muy amables los meseros.
3 de junio de 2019,50,Deli,"La mejor pizza Deep Dish de Chicago, un ambiente mas bonito y familiar que el de Giordano´s, recomendado para comparar y conocer."
21 de octubre de 2018,50,Increíble pizza!!,Mucho tiempo de espera para conseguir mesa per valió la pena. La deep dish pizza es deliciosa! Definitivamente es algo qué hay que probar cuando uno visita Chicago!
6 de octubre de 2018,30,Esperaba un poco más,"Muchas expectativas... nada extraordinario, sólo cumple. La pasta gluten-free vale la pena. Si disfrutas la masa, las pizzas deep dish son la opción."
28 de agosto de 2018,40,Muy buena pizza pero mucha cantidad para un español,Nos encanto la pizza y los entrantes pero nos vinimos arriba con el tamaño que pedimos y nos sobro muchísima. La única pega es que no reservan y tienes que esperar turno y la barra es muy pequeña
17 de octubre de 2017,50,Excelente deep fried pizza,Muy buena deep fried pizza La clásica un sabor inigualable y la atención amable. Lo recomiendo para los que quieran comer una tradicional pizza
14 de septiembre de 2017,40,Buena Experiencia,"Un lugar adecuado para probar la Pizza al estilo Chicago, se toman su tiempo para hacerla / aprox 30 minutos pero vale la pena, lugar recomendado para probarla!!!"
25 de abril de 2017,40,Muy bueno,Pizza excelente comimos una mediana para 3 con carne. El pan de ajo de entrada común. La atención esmerada
7 de marzo de 2017,50,Excelente,"La deep pizza es increíblemente buena, nos encantó!!! El lugar es muy lindo con muy buena ubicación y la atención excelente, lo recomendamos 100%"
24 de agosto de 2016,40,La mejor deep pizza de Chicago,"Excelente sitio para conocer la famosa pizza estilo Chicago. Suele ser necesaio esperar para tener mesa (15-20 minutos), pero merece la pena. Muy amables."
26 de julio de 2016,50,Deliciosa pizza y Ensaladas!,"Almorzamos pizza con mi familia y de entrada una ensalada, totalmetne satisfechos y complacidos con la calidad de la comida!"
21 de julio de 2016,40,Muy Rico,La sopa minestrone estaba deliciosa. La ensalada Malnatis estaba espectacular. La pizza espectacular. El ambiente y el ruido no es el mejor pero vale la pena.
16 de abril de 2016,50,Una pizza de primera,Un local muy agradable donde comimos unas de las deep pizza mas ricas de Chicago. Precio muy razonable
1 de marzo de 2016,40,Contundente pizza,"Es un local mediano , tienes que esperar harto para sentarte, te puedes tomar un bebestible mientras esperas. La atención muy buena. Las pizza muy buena quedas satisfeco facilmenete"
28 de diciembre de 2015,50,Buenísimo!,"Me recomendaron probar la Chicago Style Pizza y este era EL LUGAR! Estuvo excelente, el local es lindo, la atención muy buena y si la pizza tiene estilo propio? Todo recomendable!"
29 de septiembre de 2015,30,"Bueno, pero no muy buen servicio","Sirven la clásica pizza estilo Chicago, muy buena la comida, pero el servicio deja mucho que desear. Íbamos en grupo grande unas 12 personas y la hostess y mesera con mala actitud siempre. Por la comida volvería más definitivamente no por el servicio."
17 de agosto de 2015,50,Chicago-Style Pizza,"Excelente pizza al estilo de Chicago. Lugar cómodo, bien calefaccionado y bien atendido. Los precios son moderados."
28 de abril de 2015,50,Auténtica pizza al estilo de Chicago,Sitio lleno de locales comiendo pizzas maravillosas. Son muy contundentes casi no puede acabarla y eso que pedí la small. Lleva como medio kilo de queso. Deliciosa. Con 2 cervezas Matilda y propina sale a 30€. Merece la pena
4 de abril de 2015,50,Otra pizzeria obligatoria para ir,"Aqui tambien sirven la clasica pizza de Chicago deep dish que esta muy buena, es un poco mas barata que Giordano's. El lugar esta muy buena y el servicio es excelente."
9 de diciembre de 2014,50,Best deep dish pizza ever!,"La mejor Pizza de Chicago, llena de sabor sin abusar de la salsa porque tiene trozos de jitomate. Una delicia!"
4 de octubre de 2014,50,Todo excelente! Muy recomendado!,"La comida es excelente, el servicio mejorable, tuve la oportunidad de ir en varias oportunidades por negocios y con mi familia."
1 de julio de 2014,50,La mejor pizza de Chicago,"La comida es muy rica, la pizza es deliciosa, los precios son accesibles, los meseros amables. Recomendable cien por ciento. La pizza tradicinal es la mejor."
1 de mayo de 2014,40,"Muy rica, pero no la mejor","Es un lugar para ir y pedir la famosa deep-dish pizza, creo que es un lugar que en general tiene buena calidad, buena atención, pero para mi gusto no es la mejor pizza de Chicago."
16 de septiembre de 2013,50,Riquísima la pizza,Si viajas a chicago no te la puedes perder esta pizza es riquísima una para dos personas tiene costo de 13 dólares las bebidas 3 /4 y pedimos una ensalada César muy rica de 12 dólares.
29 de junio de 2020,50,Estilo pizza de Chicago,"Si te gusta la pizza, definitivamente tienes que ir allí. He estado un par de veces y una hora tarde me vuelvo a extrañar :) Perfecto, grueso, irritable, precio. . . Todo es como esperas ser."
15 de mayo de 2020,20,Decepcionado,"Mi novio y yo pedimos una de las pizzas congeladas en línea. Gastamos $ 30 en un pastel de pepperoni y queso, y no vale tanto. . ."
16 de marzo de 2020,30,buena ensalada - no pizza,Pedimos comida para llevar. La ensalada era muy grande. La pizza no era muy buena (textura extraña). Me gustaría comer la ensalada de nuevo.
15 de octubre de 2019,50,Mi ir a,"Desde que estuve en Chicago, he estado allí dos veces: una con mi novio y otra con amigos. Todo sobre este lugar es espectacular. La comida es deliciosa y el personal es super amable."
27 de octubre de 2019,40,Buena pizza estilo chicago,Si quieres probar la pizza típica de Chicago acércate a cualquiera de los locales de Giordano’s en la ciudad. Una forma diferente y muy rica la verdad
29 de julio de 2019,30,Pizza al cuadrado,"Como no podía ser de otra forma, después de visitar la torre, comimos dos de estas enormes ""so called Pizzas"" en este tradicional restaurante. La calidad es razonable pero el lugar está ya muy desfasado y claramente necesita una renovación."
20 de junio de 2019,50,No te lo pierdas,"No dejes de probar las pizzas tradicionales, son espectaculares. Hay varios locales en algunos el tiempo de espera es largo pero puedes pedir tu pizza tradicional en esa espera ya que tarda unos 40 minutos. (Fuimos dos veces)"
6 de junio de 2019,40,IMPERDIBLE!!!,"Probamos la deep dish de espinacas, Exquisita!!! no podes irte sin probarla. Lo criticable es que demoran mucho tiempo en servirla!!!"
25 de mayo de 2019,30,Pizza original,Sirven la famosa pizza rellena de Chicago. Es rica pero no supera la versión tradicional. De todos modos vale la pena ! Excelente atención
9 de mayo de 2019,50,deep dish,pizza gruesa y sabrosa ambiente comodo y familiar musica agradable y entretenimiento en la tv ubicacion centrica
15 de enero de 2019,50,Dish pizza!,"Excelente restaurante, la comida muy buena y la atención, recomendada la Dish Pizza especialidad de la casa! Precio razonable porciones grandes"
2 de enero de 2019,40,Delicioso,"Vale la pena una deliciosa masa, una pizza única Hay varios Giordano’s que no hah tanta gente para no tener que hacer tanta fila Recomendado hay que probarlo"
4 de noviembre de 2018,40,BIG PIZZA!,"Muy buena experiencia probar la deep pizza, típica de Chicago. Buena atencion y precios razonables. Lamentablemente no probé sus otras opciones."
27 de septiembre de 2018,40,Buena Opcion,"Alli, se puede comer la tradicional Pizza Chicago Style, se demora aprox 45mins en servirse, los platos son bastante grandes, y facilmente con 1 plato comen 2 personas, el servicio es bueno, y el ambiente agradable!!."
12 de mayo de 2018,40,Para probar las Deep Dish Pizza,"Fui para probar las famosas Deep Dish pizza. Los tamaños de las pizzas son grandes,. Con una pequeña tranquilo comen 2 o 3 personas. Recomendable."
8 de noviembre de 2017,50,Perfecta para un gran apetito!,"Fue la opción ideal para concluir un día de caminata por toda la ciudad. El ambiente, atención y sabor de los alimentos llaman a volver. Las porciones son abudnantes y la deep dish pizza inigualable."
21 de octubre de 2017,50,Buena pizza,Sorprendido con lo rica la pizza y ensalada de Giordano Me gusta mucho la pizza y puede afirmar que es una de las mejores y muy buena atención
8 de octubre de 2017,40,Bien,"Está bien, pero nada wow. Las pizzas están bien, pero creo que son más conocidas por una historia o por como eran, que a lo que es hoy. Son buenas, pero no diría que es un imprescindible."
16 de septiembre de 2017,50,Las mejores pizzas!,Un restaurant con mucha tradición. La atención es muuuy buena. Y las pizzas son espectaculares. Servicio relativamente rápido y muy buena ubicación.
10 de julio de 2017,50,La mejor Pizza de Chicago.,la mejor pizza de Chicago muy diferente supero las espectativas en cuanto a sabor y calidad algo para no perderse lo unico que no me gusto fue el tiempo de espera 50 minutos¡¡¡ aunque valio la espera por sabor y calidad.
23 de mayo de 2017,50,Deliciosas,"Las famosas pizzas de Chicago... hay que ir aunque sea una vez, yo fui dos. Muy ricas, el lugar agradable, solo hay que esperar 35 minutos para que llegue... pero vale la pena."
18 de abril de 2017,30,Pesada,"Nos dijeron que quien no va a Giordano's no fué a Chicago. Pizza tradicional de la ciudad, de buen sabor pero muy condimentada y pesada."
7 de noviembre de 2016,50,La comida es buenisima!,La comida de este restaurante italiano está deliciosa. Es un restaurante muy popular para los turistas.
14 de octubre de 2016,40,imperdible,"muy buen lugar para comer, la espera no es muy larga, la atención es muy buena la variedad de pizza es amplia y es todo muy rico. la pizza es muy abundante."
30 de septiembre de 2016,40,Excelente,"La pizza de Chicago maravillosa, una cerveza excelente y muy rápida además de buena atención o servicio..¡¡"
30 de septiembre de 2016,50,La auténtica pizza dish de Chicago,Exquisita pizza!! Está muy cerca del Skydeck de Chicago. Un lugar ideal para probar la pizza auténtica de Chicago en todo su esplendor. Súper recomendado
29 de septiembre de 2016,50,Excelente comida y servicio,"La pizza estaba excelente, la famosa DEEP PAN PIZZA que venía en varias opciones de relleno, ademas tenian gran variedad de cervezas y el servicio fue A1. Cumplió perfectamente con mis expectativas."
23 de septiembre de 2016,40,La famosa pizza al estilo Chicago,Un buen lugar para disfrutar las pizza de Chicago un estilo único muy buen sabor . Las Chicago classic es excelente
6 de julio de 2016,40,Delicioso,"La pizza tipo pan. Riquisimo. Y muy buena atencion. tienes que probar esa pizza estilo chicago, la mejor la hacen este restaurante en mi opinion."
2 de mayo de 2016,40,La casa del deep dish pizza,"Venir a Chicago es para comer pizza, y sin duda Giordanos es el mejor lugar. Agradable fácil acceso, cerca d la estación del metro en una zona muy agradable. La pizza es increíble"
2 de mayo de 2016,40,Pizza de Chicago,"Es un bonito lugar, buena atención y muy buenas pizzas, es importante hacer una buena combinación de ingredientes y saber que este tipo de pizzas requieren de un buen tiempo en prepararse, tengan paciencia."
27 de marzo de 2016,40,La Chicago Pizza Pie: un clásico,"Grande, un poco destartalado, lleno y ruidoso. Imperdible. Pizza, pizza, pizza... el resto no vale la pena ni mirarlo. La mejor y más emblemática pizza pie de la ciudad"
